person,dept,eow,cause,cause_short,date,year,canine,dept_name,state
eow: monday, january 3,1791,cause of death: gunfire,gunfire,1791-01-03,1791,False,albany county constable's office, ny
eow: saturday, october 22,1791,cause of death: gunfire,gunfire,1791-10-22,1791,False,columbia county sheriff's office, ny
eow: thursday, may 17,1792,cause of death: gunfire,gunfire,1792-05-17,1792,False,westchester county sheriff's department, ny
eow: saturday, january 11,1794,cause of death: gunfire,gunfire,1794-01-11,1794,False,united states department of justice - united states marshals service, us
eow: sunday, november 12,1797,cause of death: gunfire,gunfire,1797-11-12,1797,False,greenville county sheriff's office, sc
eow: tuesday, october 16,1804,cause of death: gunfire,gunfire,1804-10-16,1804,False,mecklenburg county sheriff's office, nc
eow: thursday, december 25,1806,cause of death: stabbed,stabbed,1806-12-25,1806,False,new york city watch, ny
eow: saturday, march 7,1807,cause of death: gunfire,gunfire,1807-03-07,1807,False,livingston county sheriff's department, ky
eow: monday, january 18,1808,cause of death: assault,assault,1808-01-18,1808,False,cumberland county sheriff's office, me
eow: tuesday, march 15,1808,cause of death: stabbed,stabbed,1808-03-15,1808,False,baltimore city police department, md
eow: wednesday, august 3,1808,cause of death: gunfire,gunfire,1808-08-03,1808,False,united states department of the treasury - customs service, us
eow: monday, january 1,1810,cause of death: gunfire,gunfire,1810-01-01,1810,False,united states department of the treasury - customs service, us
eow: monday, january 28,1811,cause of death: gunfire,gunfire,1811-01-28,1811,False,hancock county sheriff's department, me
eow: friday, january 21,1814,cause of death: gunfire,gunfire,1814-01-21,1814,False,united states department of the treasury - customs service, us
eow: monday, january 1,1816,cause of death: gunfire,gunfire,1816-01-01,1816,False,wayne county sheriff's office, nc
eow: monday, september 9,1816,cause of death: assault,assault,1816-09-09,1816,False,davidson county sheriff's office, tn
eow: friday, october 9,1818,cause of death: assault,assault,1818-10-09,1818,False,schoharie county sheriff's department, ny
eow: monday, august 4,1823,cause of death: assault,assault,1823-08-04,1823,False,alexandria police department, va
eow: thursday, november 11,1824,cause of death: stabbed,stabbed,1824-11-11,1824,False,franklin county sheriff's department, in
eow: thursday, april 14,1825,cause of death: gunfire,gunfire,1825-04-14,1825,False,pennsylvania state constable - venango county, pa
eow: monday, december 19,1825,cause of death: assault,assault,1825-12-19,1825,False,boston watch, ma
eow: sunday, september 9,1827,cause of death: assault,assault,1827-09-09,1827,False,alexandria police department, va
eow: tuesday, january 8,1828,cause of death: gunfire,gunfire,1828-01-08,1828,False,philadelphia police department, pa
eow: saturday, june 12,1830,cause of death: gunfire,gunfire,1830-06-12,1830,False,caroline county sheriff's office, va
eow: thursday, june 21,1832,cause of death: assault,assault,1832-06-21,1832,False,foster police department, ri
eow: wednesday, may 1,1833,cause of death: assault,assault,1833-05-01,1833,False,connecticut department of correction, ct
eow: thursday, january 23,1834,cause of death: stabbed,stabbed,1834-01-23,1834,False,harrison county sheriff's department, in
eow: saturday, august 30,1834,cause of death: stabbed,stabbed,1834-08-30,1834,False,purdy constable's office, tn
eow: wednesday, april 13,1836,cause of death: stabbed,stabbed,1836-04-13,1836,False,new york city watch, ny
eow: thursday, april 28,1836,cause of death: stabbed,stabbed,1836-04-28,1836,False,st. louis metropolitan police department, mo
eow: sunday, august 28,1836,cause of death: stabbed,stabbed,1836-08-28,1836,False,new york city watch, ny
eow: saturday, january 7,1837,cause of death: gunfire,gunfire,1837-01-07,1837,False,texas rangers, tx
eow: friday, november 10,1837,cause of death: assault,assault,1837-11-10,1837,False,texas rangers, tx
eow: friday, november 10,1837,cause of death: gunfire,gunfire,1837-11-10,1837,False,texas rangers, tx
eow: monday, january 15,1838,cause of death: gunfire,gunfire,1838-01-15,1838,False,ashtabula county sheriff's department, oh
eow: friday, october 12,1838,cause of death: assault,assault,1838-10-12,1838,False,texas rangers, tx
eow: monday, december 17,1838,cause of death: assault,assault,1838-12-17,1838,False,texas rangers, tx
eow: saturday, february 2,1839,cause of death: gunfire,gunfire,1839-02-02,1839,False,united states department of justice - united states marshals service, us
eow: monday, february 25,1839,cause of death: gunfire,gunfire,1839-02-25,1839,False,texas rangers, tx
eow: thursday, march 7,1839,cause of death: gunfire,gunfire,1839-03-07,1839,False,texas rangers, tx
eow: sunday, may 26,1839,cause of death: assault,assault,1839-05-26,1839,False,texas rangers, tx
eow: sunday, may 26,1839,cause of death: gunfire,gunfire,1839-05-26,1839,False,texas rangers, tx
eow: monday, may 27,1839,cause of death: gunfire,gunfire,1839-05-27,1839,False,texas rangers, tx
eow: tuesday, june 25,1839,cause of death: fall,fall,1839-06-25,1839,False,new york city watch, ny
eow: thursday, march 19,1840,cause of death: stabbed,stabbed,1840-03-19,1840,False,bexar county sheriff's office, tx
eow: sunday, may 24,1840,cause of death: gunfire,gunfire,1840-05-24,1840,False,jacksonville police department, fl
eow: saturday, january 23,1841,cause of death: gunfire,gunfire,1841-01-23,1841,False,harrison county sheriff's office, tx
eow: wednesday, june 9,1841,cause of death: assault,assault,1841-06-09,1841,False,ohio department of rehabilitation and correction, oh
eow: monday, june 14,1841,cause of death: assault,assault,1841-06-14,1841,False,missouri department of corrections, mo
eow: thursday, august 5,1841,cause of death: gunfire,gunfire,1841-08-05,1841,False,texas rangers, tx
eow: thursday, may 19,1842,cause of death: gunfire,gunfire,1842-05-19,1842,False,dubois county sheriff's department, in
eow: thursday, august 31,1843,cause of death: gunfire,gunfire,1843-08-31,1843,False,shannon county sheriff's department, mo
eow: saturday, september 23,1843,cause of death: drowned,drowned,1843-09-23,1843,False,ashe county sheriff's office, nc
eow: thursday, march 21,1844,cause of death: gunfire,gunfire,1844-03-21,1844,False,crawford county sheriff's department, wi
eow: friday, april 26,1844,cause of death: gunfire,gunfire,1844-04-26,1844,False,jackson county sheriff's department, fl
eow: saturday, june 8,1844,cause of death: assault,assault,1844-06-08,1844,False,texas rangers, tx
eow: thursday, october 31,1844,cause of death: assault,assault,1844-10-31,1844,False,pennsylvania department of corrections, pa
eow: thursday, august 7,1845,cause of death: gunfire,gunfire,1845-08-07,1845,False,delaware county sheriff's office, ny
eow: monday, november 24,1845,cause of death: stabbed,stabbed,1845-11-24,1845,False,augusta police department, ky
eow: thursday, december 4,1845,cause of death: gunfire,gunfire,1845-12-04,1845,False,cherokee county sheriff's office, al
eow: sunday, december 28,1845,cause of death: stabbed,stabbed,1845-12-28,1845,False,cherokee nation marshal service, tr
eow: sunday, april 11,1847,cause of death: gunfire,gunfire,1847-04-11,1847,False,montgomery county sheriff's office, tx
eow: friday, june 25,1847,cause of death: gunfire,gunfire,1847-06-25,1847,False,hampshire county sheriff's office, va
eow: sunday, december 19,1847,cause of death: gunfire,gunfire,1847-12-19,1847,False,sullivan county sheriff's office, mo
eow: thursday, april 27,1848,cause of death: gunfire,gunfire,1848-04-27,1848,False,boston watch, ma
eow: sunday, may 6,1849,cause of death: gunfire,gunfire,1849-05-06,1849,False,cincinnati police department, oh
eow: monday, june 25,1849,cause of death: stabbed,stabbed,1849-06-25,1849,False,cincinnati police department, oh
eow: thursday, september 27,1849,cause of death: assault,assault,1849-09-27,1849,False,new york municipal police force, ny
eow: tuesday, october 16,1849,cause of death: structure collapse,structure collapse,1849-10-16,1849,False,new york municipal police force, ny
eow: saturday, january 12,1850,cause of death: assault,assault,1850-01-12,1850,False,texas rangers, tx
eow: sunday, may 26,1850,cause of death: gunfire,gunfire,1850-05-26,1850,False,st. louis metropolitan police department, mo
eow: wednesday, may 29,1850,cause of death: assault,assault,1850-05-29,1850,False,texas rangers, tx
eow: thursday, august 15,1850,cause of death: gunfire,gunfire,1850-08-15,1850,False,sacramento county sheriff's department, ca
eow: tuesday, august 20,1850,cause of death: gunfire,gunfire,1850-08-20,1850,False,texas rangers, tx
eow: monday, january 27,1851,cause of death: assault,assault,1851-01-27,1851,False,texas rangers, tx
eow: monday, february 3,1851,cause of death: assault,assault,1851-02-03,1851,False,texas rangers, tx
eow: thursday, july 10,1851,cause of death: assault,assault,1851-07-10,1851,False,new york municipal police force, ny
eow: monday, august 4,1851,cause of death: stabbed,stabbed,1851-08-04,1851,False,new york municipal police force, ny
eow: thursday, september 11,1851,cause of death: gunfire,gunfire,1851-09-11,1851,False,united states department of justice - united states marshals service, us
eow: saturday, september 27,1851,cause of death: gunfire,gunfire,1851-09-27,1851,False,smith county sheriff's office, tx
eow: friday, december 26,1851,cause of death: fire,fire,1851-12-26,1851,False,philadelphia police department, pa
eow: saturday, january 10,1852,cause of death: gunfire,gunfire,1852-01-10,1852,False,united states department of the interior - bureau of indian affairs - division of law enforcement, us
eow: sunday, april 4,1852,cause of death: gunfire,gunfire,1852-04-04,1852,False,calhoun county sheriff's office, tx
eow: saturday, may 1,1852,cause of death: stabbed,stabbed,1852-05-01,1852,False,dekalb county sheriff's office, ga
eow: tuesday, may 18,1852,cause of death: assault,assault,1852-05-18,1852,False,providence city watch, ri
eow: friday, july 16,1852,cause of death: gunfire,gunfire,1852-07-16,1852,False,fall river police department, ma
eow: friday, september 10,1852,cause of death: stabbed,stabbed,1852-09-10,1852,False,cincinnati police department, oh
eow: sunday, march 6,1853,cause of death: gunfire,gunfire,1853-03-06,1853,False,king county sheriff's office, wa
eow: thursday, april 21,1853,cause of death: stabbed,stabbed,1853-04-21,1853,False,pittsburgh night watch, pa
eow: friday, april 29,1853,cause of death: drowned,drowned,1853-04-29,1853,False,salt lake county sheriff's office, ut
eow: thursday, june 2,1853,cause of death: fire,fire,1853-06-02,1853,False,new york municipal police force, ny
eow: thursday, december 1,1853,cause of death: stabbed,stabbed,1853-12-01,1853,False,cleveland police department, oh
eow: monday, december 5,1853,cause of death: assault,assault,1853-12-05,1853,False,chicago police department, il
eow: wednesday, december 7,1853,cause of death: stabbed,stabbed,1853-12-07,1853,False,los angeles county constable's office, ca
eow: friday, april 14,1854,cause of death: gunfire,gunfire,1854-04-14,1854,False,stockton police department, ca
eow: thursday, april 27,1854,cause of death: gunfire,gunfire,1854-04-27,1854,False,columbus division of police, oh
eow: friday, may 26,1854,cause of death: gunfire,gunfire,1854-05-26,1854,False,united states department of justice - united states marshals service, us
eow: saturday, september 2,1854,cause of death: gunfire,gunfire,1854-09-02,1854,False,monterey county constable's office, ca
eow: monday, september 18,1854,cause of death: stabbed,stabbed,1854-09-18,1854,False,chicago police department, il
eow: friday, september 29,1854,cause of death: gunfire,gunfire,1854-09-29,1854,False,new york municipal police force, ny
eow: monday, october 23,1854,cause of death: stabbed,stabbed,1854-10-23,1854,False,newark police department, nj
eow: sunday, november 5,1854,cause of death: stabbed,stabbed,1854-11-05,1854,False,new york municipal police force, ny
eow: friday, november 24,1854,cause of death: stabbed,stabbed,1854-11-24,1854,False,laurel county sheriff's department, ky
eow: sunday, april 29,1855,cause of death: stabbed,stabbed,1855-04-29,1855,False,sonora police department, ca
eow: sunday, august 12,1855,cause of death: gunfire,gunfire,1855-08-12,1855,False,amador county sheriff's department, ca
eow: tuesday, september 25,1855,cause of death: stabbed,stabbed,1855-09-25,1855,False,united states department of the interior - bureau of indian affairs - division of law enforcement, us
eow: wednesday, october 3,1855,cause of death: gunfire,gunfire,1855-10-03,1855,False,texas rangers, tx
eow: saturday, november 10,1855,cause of death: gunfire,gunfire,1855-11-10,1855,False,monterey county sheriff's department, ca
eow: saturday, november 17,1855,cause of death: gunfire,gunfire,1855-11-17,1855,False,united states department of justice - united states marshals service, us
eow: saturday, november 24,1855,cause of death: assault,assault,1855-11-24,1855,False,new haven police department, ct
eow: thursday, december 27,1855,cause of death: fall,fall,1855-12-27,1855,False,united states department of justice - united states marshals service, us
eow: wednesday, march 26,1856,cause of death: gunfire,gunfire,1856-03-26,1856,False,new orleans police department, la
eow: sunday, may 4,1856,cause of death: gunfire,gunfire,1856-05-04,1856,False,cincinnati police department, oh
eow: sunday, may 25,1856,cause of death: gunfire,gunfire,1856-05-25,1856,False,philadelphia police department, pa
eow: monday, november 3,1856,cause of death: gunfire,gunfire,1856-11-03,1856,False,nevada city police department, ca
eow: monday, november 3,1856,cause of death: gunfire,gunfire,1856-11-03,1856,False,nevada county sheriff's office, ca
eow: tuesday, november 11,1856,cause of death: gunfire,gunfire,1856-11-11,1856,False,winnebago county sheriff's office, il
eow: thursday, november 13,1856,cause of death: gunfire (accidental),gunfire (accidental),1856-11-13,1856,False,baltimore city police department, md
eow: sunday, december 7,1856,cause of death: drowned,drowned,1856-12-07,1856,False,new brunswick police department, nj
eow: monday, december 15,1856,cause of death: stabbed,stabbed,1856-12-15,1856,False,massachusetts department of correction, ma
eow: monday, december 29,1856,cause of death: stabbed,stabbed,1856-12-29,1856,False,massachusetts department of correction, ma
eow: friday, january 23,1857,cause of death: gunfire,gunfire,1857-01-23,1857,False,los angeles county sheriff's department, ca
eow: sunday, march 22,1857,cause of death: gunfire,gunfire,1857-03-22,1857,False,estill county sheriff's department, ky
eow: wednesday, april 15,1857,cause of death: stabbed,stabbed,1857-04-15,1857,False,new york municipal police force, ny
eow: sunday, may 24,1857,cause of death: gunfire,gunfire,1857-05-24,1857,False,burleson county constable's office - precinct 3, tx
eow: friday, may 29,1857,cause of death: gunfire,gunfire,1857-05-29,1857,False,san antonio police department, tx
eow: thursday, july 9,1857,cause of death: assault,assault,1857-07-09,1857,False,new york metropolitan police force, ny
eow: monday, july 20,1857,cause of death: gunfire,gunfire,1857-07-20,1857,False,new york metropolitan police force, ny
eow: wednesday, october 14,1857,cause of death: gunfire,gunfire,1857-10-14,1857,False,baltimore city police department, md
eow: sunday, october 18,1857,cause of death: gunfire,gunfire,1857-10-18,1857,False,boston police department, ma
eow: sunday, november 22,1857,cause of death: assault,assault,1857-11-22,1857,False,new york metropolitan police force, ny
eow: thursday, january 7,1858,cause of death: gunfire,gunfire,1858-01-07,1858,False,los angeles county sheriff's department, ca
eow: saturday, january 9,1858,cause of death: stabbed,stabbed,1858-01-09,1858,False,llano county sheriff's office, tx
